Asset,Start,End,Duration,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN
FI,2010-04-12,2023-12-18,13Y 8M 1W 6D,6.088027498082324,1.9742655388774062,8.8444214629103,168,1.0,0.08097006264742967,0.005082365852555171,0.01175158058855599,0.01175158058855599,0.0,0.007400441419423454,0.10378282803092209,0.11747836552737782,0.0,0.0,197.42655388774062,168.0,0.6280546013702185,20.582271319920242
BK,2015-05-04,2022-01-07,6Y 8M 1W 3D,1.1679043837541108,0.9478802720141724,1.4563252954751489,2,1.0,0.5417276037166644,0.40615266829750796,0.4739401360070862,0.4739401360070862,0.0,0.09586595619381377,0.08319284655386272,1.5218248757174604,0.0,0.0,94.78802720141724,2.0,0.03495332965219476,6.991559826922395
IBM,2011-12-07,2011-12-07,,0.3215351399320361,0.3215351399320361,0.5840064271995631,1,1.0,0.3215351399320361,0.3215351399320361,0.3215351399320361,0.3215351399320361,0.0,0.0,3.2496481032774845e+30,0.0,0.0,0.0,32.15351399320361,1.0,3.2496481032774846e+32,32.15351399320361
MA,2011-01-25,2023-12-22,12Y 11M 4D,60.52539475465955,4.180304908777043,16.701168742333763,173,1.0,0.10386235719775372,0.010663703289449204,0.02416361218946268,0.02416361218946268,0.0,0.011780346795453199,0.24634675277012308,0.1870072078731951,0.0,0.0,418.0304908777043,173.0,1.156889914728968,26.979061176573435
VRSK,2011-05-05,2023-09-14,12Y 4M 2W 1D,4.5245896608857,1.727121201024969,6.248815659304013,111,1.0,0.05307266945167988,0.006415446670568814,0.015559650459684406,0.015559650459684406,0.0,0.009352730578300649,0.10009628769258305,0.14846999513743697,0.0,0.0,172.7121201024969,111.0,0.47212426745010483,17.52761809893132
DG,2011-04-27,2022-04-20,10Y 12M 1D,4.861021252502703,1.792613271071461,3.062909132902827,86,1.0,0.06444518009514688,0.008375570064720117,0.02084434036129606,0.02084434036129606,0.0,0.01206564020096607,0.11750540198081194,0.19153610028323764,0.0,0.0,179.26132710714612,86.0,0.4568611444600348,16.020903746611427
INTC,2011-07-20,2020-01-29,8Y 6M 2W 1D,1.5893925821897197,0.9665476239670623,1.7430269112511154,37,1.0,0.049978834166502395,0.011554086118968021,0.026122908755866547,0.026122908755866547,0.0,0.012630242950711235,0.08000867973231052,0.20049889107545132,0.0,0.0,96.65476239670623,37.0,0.24942122853682694,12.580870469608533
V,2011-09-20,2023-12-12,12Y 2M 3W 5D,20.24568469988294,3.0944173574793066,11.385303995263248,152,1.0,0.07353081226143443,0.009256038198578084,0.02035800893078491,0.02035800893078491,0.0,0.010035480975246603,0.18820949732699144,0.15930832168453474,0.0,0.0,309.44173574793064,152.0,0.9931025300754897,25.010300081290154
CVS,2013-11-05,2014-12-19,1Y 1M 2W,0.688215660024811,0.6000349698752492,1.6365295306282803,2,1.0,0.34279365959988084,0.25724131027536834,0.3000174849376246,0.3000174849376246,0.0,0.06049464635380314,0.38078716287100556,0.9603227394177805,0.0,0.0,60.00349698752492,2.0,0.3652804921433798,7.0136585916446235
GD,2012-01-03,2023-12-27,11Y 12M 1D,1.4635515774697194,0.9100230389252705,4.070843916958825,58,1.0,0.04336577025539201,0.008305713336824172,0.015690052395263283,0.015690052395263283,0.0,0.007028921196676103,0.05329202893290996,0.11158066482885295,0.0,0.0,91.00230389252705,58.0,0.20874610281840714,17.00003111685874
